index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
73,11001.0,39.0,2.0,female,68.11,132.28,29.0,31.0,36.0,1.0,36-45,6.5,8.94,7.36,21.46,31.1,23.74,14.09,15.75,35.59,31.22,33.23,31.46,7.13,39.37,32.05,17.48,15.98,67.83,22.24,25.31,28.5,41.46,134.26,14.15,11.06,7.1,57.75,48.49,14.62,56.065,13.165,3.435,2.7,52.185,43.81,17.655,9.4,18.58,22.23,22.565,7.36,caesar
89,11035.0,38.0,1.0,female,68.9,136.69,29.0,33.0,34.0,0.0,36-45,8.5,9.49,7.87,21.46,32.28,24.41,13.58,14.33,36.42,31.1,36.38,34.02,7.52,37.72,34.65,17.13,16.77,68.7,21.18,25.51,28.43,43.43,135.8,15.56,10.95,7.33,57.54,50.9,15.55,56.29,12.815,3.125,2.465,52.635,43.77,18.87,10.285,19.005,22.325,23.1,7.87,caesar
93,11042.0,57.0,0.0,female,66.14,138.89,28.0,30.0,36.0,1.0,56-65,8.5,9.84,7.87,20.83,30.98,23.11,12.95,16.14,35.43,31.1,34.29,31.06,7.09,37.87,31.3,15.75,16.46,66.38,22.6,26.57,29.13,41.77,138.89,15.33,12.49,7.47,56.74,46.62,15.04,53.925,11.95,2.995,2.675,49.99,42.465,18.145,9.075,16.695,20.43,21.025,7.87,caesar
99,11054.0,37.0,0.0,female,68.9,169.76,33.0,32.0,38.0,3.0,36-45,8.5,9.37,7.87,21.3,31.42,23.54,13.43,17.8,43.27,34.69,39.84,31.46,6.97,41.3,33.27,19.02,17.05,68.46,24.8,28.23,35.16,41.93,178.13,15.0,13.03,8.59,57.91,47.05,15.46,56.725,12.59,3.08,2.81,51.21,44.78,18.085,9.225,16.13,21.5,21.815,7.88,caesar
116,11096.0,24.0,0.0,female,67.72,156.53,33.0,30.0,36.0,1.0,17-25,8.5,9.49,8.39,21.61,31.22,22.83,13.23,16.18,37.01,31.42,36.65,31.81,7.4,42.72,32.44,18.86,18.5,68.39,25.0,29.33,33.15,40.83,160.72,14.77,12.1,8.35,58.38,48.8,15.65,56.44,12.79,3.07,2.695,51.575,44.29,17.95,9.615,17.58,21.62,22.405,8.39,caesar
117,11098.0,31.0,0.0,female,67.72,147.71,32.0,34.0,34.0,1.0,26-35,8.5,9.72,8.5,22.24,33.58,25.08,13.74,15.24,35.79,31.02,35.43,34.13,7.64,41.02,35.31,17.24,16.93,67.87,25.24,25.79,29.96,43.27,158.95,14.18,10.97,8.48,58.32,49.32,13.47,56.29,13.215,2.89,2.545,51.725,43.82,18.705,10.015,18.505,22.63,23.23,8.5,caesar
126,11116.0,52.0,1.0,female,66.54,136.69,29.0,30.0,34.0,1.0,46-55,10.5,9.76,8.07,20.47,30.59,22.52,12.4,14.92,34.49,30.12,34.65,31.57,7.36,39.65,31.97,17.13,16.1,66.97,22.44,27.48,27.6,41.06,135.14,15.17,11.03,6.85,56.82,48.05,14.73,54.295,12.085,3.125,2.455,50.78,43.105,17.955,9.485,17.36,21.11,21.57,8.07,caesar
128,11127.0,46.0,0.0,female,64.96,147.71,32.0,32.0,38.0,2.0,46-55,7.5,9.45,7.68,20.47,29.92,22.24,12.8,16.61,38.19,32.56,35.98,29.88,6.81,39.92,32.09,16.34,15.94,64.96,22.83,25.98,31.06,39.76,143.52,14.5,11.93,8.37,55.7,46.3,15.12,53.69,12.035,2.99,2.435,49.92,42.005,17.31,8.74,16.53,20.6,20.775,7.68,caesar
136,11144.0,35.0,0.0,female,66.93,156.53,31.0,30.0,38.0,2.0,26-35,7.5,9.53,7.36,20.87,30.28,22.91,13.5,15.63,38.94,33.98,36.61,32.8,7.13,41.06,31.46,16.65,16.57,67.64,24.09,21.65,35.08,38.94,161.6,13.89,12.02,9.04,57.76,48.58,14.45,55.755,11.875,3.22,2.685,51.33,44.035,17.935,9.48,16.66,20.905,21.355,7.37,caesar
139,11148.0,52.0,1.0,female,66.14,141.1,30.0,30.0,34.0,3.0,46-55,7.5,10.08,7.87,20.47,30.31,22.44,12.6,17.24,37.24,31.89,34.84,30.2,7.13,41.93,31.34,19.33,16.18,65.08,22.91,26.61,34.72,39.33,142.42,14.6,11.21,9.0,54.83,46.78,13.63,52.655,11.955,3.255,2.71,49.225,41.225,17.53,8.875,17.4,20.67,20.83,7.87,caesar
